iter	spmv	dot	vecops	comm	allreduce	sync	other
0	0.00108003616	9.77516174e-05	0.000219106674	0	0	0	0
1	0.001060009	9.67979431e-05	5.22136688e-05	0	0	0	0
2	0.00106096268	9.48905945e-05	5.12599945e-05	0	0	0	0
3	0.00105810165	9.60826874e-05	5.29289246e-05	0	0	0	0
4	0.00105905533	9.41753387e-05	5.17368317e-05	0	0	0	0
5	0.001060009	9.48905945e-05	5.10215759e-05	0	0	0	0
6	0.001060009	9.39369202e-05	5.10215759e-05	0	0	0	0
7	0.00105905533	9.29832458e-05	5.29289246e-05	0	0	0	0
8	0.00105786324	9.32216644e-05	5.19752502e-05	0	0	0	0
9	0.001060009	9.29832458e-05	5.19752502e-05	0	0	0	0
10	0.001060009	9.39369202e-05	5.10215759e-05	0	0	0	0
11	0.001060009	9.29832458e-05	5.22136688e-05	0	0	0	0
12	0.00105905533	9.39369202e-05	5.19752502e-05	0	0	0	0
13	0.00105905533	9.29832458e-05	5.29289246e-05	0	0	0	0
14	0.00105905533	9.41753387e-05	5.07831573e-05	0	0	0	0
15	0.00106191635	9.29832458e-05	5.10215759e-05	0	0	0	0
16	0.00105905533	9.29832458e-05	5.31673431e-05	0	0	0	0
17	0.00105905533	9.39369202e-05	5.19752502e-05	0	0	0	0
18	0.001060009	9.29832458e-05	5.10215759e-05	0	0	0	0
19	0.00105905533	9.29832458e-05	5.29289246e-05	0	0	0	0
20	0.001060009	9.29832458e-05	5.19752502e-05	0	0	0	0
21	0.00105905533	9.39369202e-05	5.19752502e-05	0	0	0	0
22	0.001060009	9.41753387e-05	5.10215759e-05	0	0	0	0
23	0.00105905533	9.29832458e-05	5.29289246e-05	0	0	0	0
24	0.00105905533	9.39369202e-05	5.19752502e-05	0	0	0	0
25	0.001060009	9.48905945e-05	5.10215759e-05	0	0	0	0
26	0.001060009	9.67979431e-05	5.22136688e-05	0	0	0	0
27	0.00105881691	9.53674316e-05	5.19752502e-05	0	0	0	0
28	0.00105905533	9.29832458e-05	5.29289246e-05	0	0	0	0
29	0.001060009	9.20295715e-05	5.19752502e-05	0	0	0	0
30	0.00106096268	9.29832458e-05	5.10215759e-05	0	0	0	0
31	0.00105905533	9.29832458e-05	5.29289246e-05	0	0	0	0
32	0.001060009	9.20295715e-05	5.29289246e-05	0	0	0	0
33	0.00105881691	9.51290131e-05	5.22136688e-05	0	0	0	0
34	0.001060009	9.39369202e-05	5.10215759e-05	0	0	0	0
35	0.00106096268	9.29832458e-05	5.10215759e-05	0	0	0	0
36	0.00105905533	9.39369202e-05	5.19752502e-05	0	0	0	0
37	0.001060009	9.32216644e-05	5.19752502e-05	0	0	0	0
38	0.00105810165	9.60826874e-05	5.07831573e-05	0	0	0	0
39	0.00105810165	9.58442688e-05	5.29289246e-05	0	0	0	0
40	0.00105690956	9.39369202e-05	5.31673431e-05	0	0	0	0
41	0.00105690956	9.39369202e-05	5.22136688e-05	0	0	0	0
42	0.00105810165	9.48905945e-05	5.10215759e-05	0	0	0	0
43	0.00105810165	9.29832458e-05	5.10215759e-05	0	0	0	0
44	0.00105714798	9.29832458e-05	5.17368317e-05	0	0	0	0
45	0.00105786324	9.29832458e-05	5.31673431e-05	0	0	0	0
46	0.00105714798	9.39369202e-05	5.19752502e-05	0	0	0	0
47	0.00105810165	9.29832458e-05	5.19752502e-05	0	0	0	0
48	0.00105690956	9.39369202e-05	5.10215759e-05	0	0	0	0
49	0.00105881691	9.32216644e-05	5.10215759e-05	0	0	0	0
50	0.00105810165	9.29832458e-05	5.19752502e-05	0	0	0	0
51	0.00105810165	9.39369202e-05	5.10215759e-05	0	0	0	0
52	0.00105786324	9.39369202e-05	5.10215759e-05	0	0	0	0
53	0.00105786324	9.32216644e-05	5.10215759e-05	0	0	0	0
54	0.00105714798	9.39369202e-05	5.19752502e-05	0	0	0	0
55	0.00105595589	9.20295715e-05	5.29289246e-05	0	0	0	0
