matrix	solver	weight	omp_threads	spmv_time	relative_residual	speedup_vs_gpu	status
cage13	hybrid-dist-pipelined	w2000	4	1.209638	9.122242e-17	0.879	ok
cage13	hybrid-dist-pipelined	w2720	1	1.208927	1.113242e-16	0.880	ok
cage13	mpi	w100	1	7.609198	nan	0.140	ok
cage13	mpi	w400	1	9.949308	nan	0.107	ok
cage13	mpi	w500	1	10.291691	nan	0.103	ok
cage13	mpi	w600	1	10.947397	nan	0.097	ok
cage13	mpi	w800	1	10.711673	nan	0.099	ok
cage13	mpi	w1200	1	11.009991	nan	0.097	ok
cage13	mpi	w2000	1	11.44247	nan	0.093	ok
cage13	mpi	w2720	1	11.433211	nan	0.093	ok
cage13	mpi-gpu	w100	1	5.963123	nan	0.178	ok
cage13	mpi-gpu	w400	1	2.207024	nan	0.482	ok
cage13	mpi-gpu	w500	1	1.817573	nan	0.585	ok
cage13	mpi-gpu	w600	1	1.597296	nan	0.666	ok
cage13	mpi-gpu	w800	1	1.525299	nan	0.697	ok
cage13	mpi-gpu	w1200	1	1.567116	nan	0.679	ok
cage13	mpi-gpu	w2000	1	1.588904	nan	0.670	ok
cage13	mpi-gpu	w2720	1	1.597118	nan	0.666	ok
